organizacion_id;provincia_id
14967;06
15116;06
16003;06
16009;06
16011;06
16012;06
16013;06
16244;06
16623;06
16890;06
16891;06
17031;06
17068;06
17885;06
17989;06
18833;06
18836;06
1654;06
1655;06
1656;06
1765;06
1795;06
1801;06
1802;06
1820;06
1943;06
2065;06
2322;06
3433;06
3471;06
3472;06
3473;06
3474;06
3684;06
3685;06
3712;06
3919;06
4003;06
4019;06
4553;06
4568;06
4936;06
5085;06
5138;06
5139;06
5716;06
6091;06
6482;06
6517;06
6825;06
7883;06
8143;06
8258;06
8408;06
8415;06
8416;06
8417;06
8441;06
8539;06
8748;06
8767;06
8768;06
8820;06
8826;06
8903;06
9480;06
9567;06
9704;06
9705;06
10167;06
10303;06
11099;06
11136;06
11360;06
11542;06
11808;06
12353;06
13513;06
13733;06
13768;06
14002;06
14209;06
15211;06
15223;06
15365;06
15381;06
15391;06
15637;06
15661;06
15756;06
16320;06
16668;06
17077;06
17965;06
18181;06
18182;06
18183;06
18312;06
18340;06
18867;06
11803;06
16964;06
18920;06
18700;06
1742;06
2083;06
2299;06
3224;06
3906;06
4791;06
6636;06
6718;06
6922;06
7029;06
8218;06
9557;06
10334;06
11622;06
13599;06
14305;06
14400;06
16235;06
16761;06
17950;06
18119;06
19385;06
19785;06
5844;06
5845;06
5846;06
8217;06
11632;06
11667;06
11982;06
12269;06
12631;06
13056;06
13417;06
13514;06
13592;06
13716;06
13872;06
14489;06
18973;06
869;06
9431;06
11429;06
11610;06
11634;06
11965;06
12010;06
13089;06
13180;06
13343;06
15688;06
17741;06
18925;06
19250;06
8075;06
12713;06
12760;06
13148;06
13313;06
13404;06
13430;06
13570;06
13779;06
14003;06
14246;06
14280;06
14423;06
15030;06
15192;06
15219;06
16604;06
17622;06
17702;06
17786;06
17902;06
17913;06
18720;06
12157;06
13184;06
14100;06
14849;06
14961;06
18508;06
11434;06
11463;06
12209;06
11730;06
12134;06
11301;06
11557;06
11812;06
11825;06
12408;06
12838;06
13010;06
13432;06
14134;06
14454;06
15010;06
15197;06
18737;06
12031;06
12049;06
12068;06
13260;06
13469;06
13853;06
14519;06
18131;06
581;06
3567;06
5524;06
5525;06
11802;06
13666;06
18786;06
18928;06
11789;06
12141;06
12340;06
12478;06
12678;06
12776;06
12967;06
13593;06
13685;06
13833;06
15229;06
12005;06
12020;06
12205;06
12698;06
13447;06
13822;06
14479;06
14866;06
16827;06
11822;06
15115;06
17638;06
18923;06
3958;06
3959;06
6052;06
6053;06
